event_category,event_action,event_label,total_events,unique_events
city_landing,price_button_submit,Tula / Показать предложения (11),8,7
city_landing,price_button_submit,Sochi / Показать предложения (39),12,10
city_landing,search-tools-button_open,Penza / Сортировка,2,2
city_landing,filters-categories_click,Gelendzhik / ЭКСКУРСИИ В ГЕЛЕНДЖИКЕ ЦЕНЫ,1,1
city_landing,price_button_submit,Moscow / Показать предложения (345),2,2
city_landing,clear_filter_mobile,Vienna,12,11
city_landing,start_date_click,Vilnius,9,4
city_landing,ticket-type_checkbox,Irkutsk / Мини-группа,29,26
city_landing,price_button_submit,Vladivostok / Показать предложения (28),3,3
city_landing,filters-categories_click,Krakow / Необычные,3,3
city_landing,price_button_submit,Sochi / Показать предложения (222),10,9
city_landing,filters-categories_click,Barcelona / Сначала самые дешевые,62,50
city_landing,filters-categories_click,Novorossiysk / Автобусные,42,32
city_landing,search-tools-button_open,Crete / Фильтры Выбрано: 1,9,9
city_landing,price_button_submit,Sharm-el-Sheikh / Показать предложения (5),27,26
city_landing,filters-categories_click,Sergiev Posad / Групповые,10,8
city_landing,dates_filter_mobile,Ivanovo / Сегодня,2,2
city_landing,price_button_submit,Istanbul / Показать предложения (28),14,12
city_landing,search-tools-button_open,Irkutsk / КБЖД,2,2
city_landing,price_button_submit,Moscow / Показать предложения (233),4,3
city_landing,price_button_submit,Olkhon / Показать предложения (9),1,1
city_landing,price_third,Petrozavodsk,6,4
city_landing,search-tools-button_open,Adler / КАКИЕ ЭКСКУРСИИ В АДЛЕРЕ,1,1
city_landing,filters-categories_click,Saint Petersburg / СЕМЕЙНЫЕ ЭКСКУРСИИ В ПЕТЕРБУРГЕ,2,1
city_landing,price_button_submit,Tbilisi / Показать предложения (22),4,4
city_landing,price_button_submit,Istanbul / Показать предложения (108),2,2
city_landing,filters-categories_click,Tula / Обзорные,23,17
city_landing,search-tools-button_open,Haifa / Категории Все,4,4
city_landing,price_button_submit,Kaliningrad / Показать предложения (134),1,1
city_landing,search-tools-button_open,Kaliningrad / Замки,18,16
